Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards
1948,127,Fort Apache,Western,"Fonda	 Henry","Temple	 Shirley","Ford	 John",4,No
1937,100,Wee Willie Winkie,Drama,"Romero	 Cesar","Temple	 Shirley","Ford	 John",78,No
1987,91,Big Shots,Action,"Busker	 Ricky","Thayer	 Brynn","Mandel	 Robert",5,No
1988,85,Doin' Time on Planet Earth,Comedy,"Strouse	 Nocholas","Thompson	 Andrea","Matthau	 Charles",44,Yes
1983,91,All the Right Moves,Drama,"Cruise	 Tom","Thompson	 Lea","Chapman	 Michael",65,No
1987,93,Some Kind of Wonderful,Drama,"Stoltz	 Eric","Thompson	 Lea","Deutch	 Howard",16,No
1990,87,"All New Tales from the Crypt	 A Trilogy",Horror,"Walsh	 M. Emmet","Thompson	 Lea","Deutch	 Howard",33,No
1985,116,Back to the Future,Comedy,"Fox	 Michael J.","Thompson	 Lea","Zemeckis	 Robert",9,No
1963,80,Winter Light,Drama,"Björnstrand	 Gunnar","Thulin	 Ingrid","Bergman	 Ingmar",2,No
1963,95,"Silence	 The",Drama,"Malmsten	 Birger","Thulin	 Ingrid","Bergman	 Ingmar",79,No
1959,100,"Magician	 The",Drama,"Sydow	 Max von","Thulin	 Ingrid","Bergman	 Ingmar",3,No
1961,154,"Four Horsemen of the Apocalypse	 The",Drama,"Ford	 Glenn","Thulin	 Ingrid","Minnelli	 Vincente",71,No
1986,99,Critical Condition,Comedy,"Pryor	 Richard","Ticotin	 Rachel","Apted	 Michael",41,No
1989,109,Lean on Me,Drama,"Freeman	 Morgan","Todd	 Beverly","Avildsen	 John G.",51,No
1986,221,On Wings of Eagles,Drama,"Lancaster	 Burt","Towers	 Constance","McLaglen	 Andrew V.",53,No
1941,94,Texas,Western,"Holden	 William","Trevor	 Claire","Marshall	 George",79,No
1939,80,Allegheny Uprising,Drama,"Wayne	 John","Trevor	 Claire","Seiter	 William A.",53,No
1940,95,Dark Command,Western,"Wayne	 John","Trevor	 Claire","Walsh	 Raoul",52,No
1986,103,Peggy Sue Got Married,Drama,"Cage	 Nicolas","Turner	 Kathleen","Coppola	 Francis Ford",62,No
1989,84,"Dear America	 Letters Home from Vietnam",War,"De Niro	 Robert","Turner	 Kathleen","Couturie	 Bill",57,No
1985,130,Prizzi's Honor,Comedy,"Nicholson	 Jack","Turner	 Kathleen","Huston	 John",25,Yes
1983,90,"Man with Two Brains	 The",Comedy,"Martin	 Steve","Turner	 Kathleen","Reiner	 Carl",68,No
1984,101,Crimes of Passion,Drama,"Perkins	 Anthony","Turner	 Kathleen","Russell	 Ken",4,No
1985,106,"Jewel of the Nile	 The",Action,"Douglas	 Michael","Turner	 Kathleen","Teague	 Lewis",68,No
1984,106,Romancing the Stone,Action,"Douglas	 Michael","Turner	 Kathleen","Zemeckis	 Robert ",83,No
1955,117,"Sea Chase	 The",War,"Wayne	 John","Turner	 Lana","Farrow	 John",4,No
1988,90,Cannibal Women in the Avocado Jungle of Death,Comedy,"Primus	 Barry","Tweed	 Shannon","Lawton	 J.F.",56,No
1986,91,Mr Love.,Comedy,"Jackson	 Barry","Tyzack	 Margaret","Battersby	 Roy",10,No
1968,139,2001: A Space Odyssey,Science Fiction,"Dullea	 Keir","Tyzack	 Margaret","Kubrick	 Stanley",83,No
1966,81,Persona,Drama,"Björnstrand	 Gunnar","Ullman	 Liv","Bergman	 Ingmar",81,Yes
1968,88,Hour of the Wolf,Drama,"Sydow	 Max von","Ullman	 Liv","Bergman	 Ingmar",37,No
1969,101,"Passion of Anna	 The",Drama,"Sydow	 Max von","Ullman	 Liv","Bergman	 Ingmar",6,No
1984,96,Dangerous Moves,Drama,"Caron	 Leslie","Ullman	 Liv","Dembo	 Richard",7,Yes
1957,147,Sayonara,Drama,"Brando	 Marlon","Umeki	 Miyoshi","Logan	 Joshua",19,Yes
1968,158,Where Eagles Dare,War,"Burton	 Richard","Ure	 Mary","Hulton	 Brian G.",57,No
1985,95,Teen Wolf,Drama,"Fox	 Michael J.","Ursitti	 Susan","Daniel	 Rod",58,No
1990,88,Amazon,Action,"Davi	 Robert","Vaananen	 Kari","Kaurismäki	 Mika",30,No
1959,88,"Virgin Spring	 The",Drama,"Sydow	 Max von","Valberg	 Brigitta","Bergman	 Ingmar",8,Yes
1970,97,Spider's Stratagem,Drama,"Brogi	 Giulio","Valli	 Alida","Bertolucci	 Bernardo",45,No
1971,102,Play Misty for Me,Mystery,"Eastwood	 Clint","Walter	 Jessica","Eastwood	 Clint",47,No
1981,88,Going Ape,Comedy,"Danza	 Tony","Walter	 Jessica","Kronsberg	 Jeremy Joe",65,No
1967,127,Cool Hand Luke,Drama,"Newman	 Paul","Van Fleet	 Jo","Rosenberg	 Stuart",49,Yes
1988,89,Phantom of the Ritz,Horror,"Bergman	 Peter","Van Valkenburgh	 Deborah","Plone	 Allen",85,No
1990,85,Crash & Burn,Science Fiction,"Ganus	 Paul","Ward	 Megan","Band	 Charles",75,No
1991,114,After Dark My Sweet,Mystery,"Patric	 Jason","Ward	 Rachel","Foley	 James",33,No
1992,121,Christopher Columbus: The Discovery,Adventure,"Brando	 Marlon","Ward	 Rachel","Glen	 John",39,No
1986,109,Young Sherlock Holmes,Mystery,"Rowe	 Nicholas","Ward	 Sophie","Levinson	 Barry",16,No
1991,104,Doc Hollywood,Comedy,"Fox	 Michael J.","Warner	 Julie","Caton-Jones	 Michael",64,No
1988,96,Baja Oklahoma,Comedy,"Coyote	 Peter","Warren	 Lesley Ann","Roth	 Bobby",71,No
1986,137,Aliens,Science Fiction,"Biehn	 Michael","Weaver	 Sigourney","Cameron	 James",82,No
1992,115,Alien Three,Science Fiction,"Dutton	 Charles","Weaver	 Sigourney","Fincher	 David",59,No
1997,109,Alien: resurrection,Science Fiction,"Perlman	 Ron","Weaver	 Sigourney","Jeunet	 Jean-Pierre",60,No
1979,117,Alien,Science Fiction,"Skerritt	 Tom","Weaver	 Sigourney","Scott	 Ridley",83,No
1985,97,One Woman or Two,Comedy,"Depardieu	 Gérard","Weaver	 Sigourney","Vigne	 Daniel",64,No
1984,96,Soggy Bottom U. S. A.,Comedy,"Johnson	 Ben","Wedgeworth	 Ann","Flicker	 Theodore J.",50,No
1973,96,Bang the Drum Slowly,Drama,"Moriarty	 Michael","Wedgeworth	 Ann","Hancock	 John D.",73,No
1974,82,"Catamount Killing	 The",Action,"Buchholz	 Horst","Wedgeworth	 Ann","Zanussi	 Krzystoff",84,No
1972,92,Fuzz,Action,"Reynolds	 Burt","Welch	 Raquel","Colla	 Richard A.",37,No
1966,101,"Shoot Loud	 Louder	 I Don't Understand!",Mystery,"Mastroianni	 Marcello","Welch	 Raquel","De Filippo	 Eduardo",70,No
1967,107,Bedazzled,Comedy,"Cook	 Peter","Welch	 Raquel","Donen	 Stanley",67,No
1977,120,"Prince & the Pauper	 The",Action,"Reed	 Oliver","Welch	 Raquel","Fleischer	 Richard",86,No
1969,110,One Hundred Rifles,Western,"Reynolds	 Burt","Welch	 Raquel","Gries	 Tom",48,No
1975,90,"Wild Party	 The",Drama,"Dukes	 David","Welch	 Raquel","Ivory	 James",75,No
1968,106,Bandolero!,Western,"Stewart	 James","Welch	 Raquel","McLaglen	 Andrew V.",9,No
1973,119,"Last of Sheila	 The",Mystery,"Coburn	 James","Welch	 Raquel","Ross	 Herbert",39,No
1988,161,Bird,Drama,"Whitaker	 Forest","Venora	 Diane","Eastwood	 Clint",24,No
1987,88,Hell Comes to Frogtown,Science Fiction,"LeFlore	 Julius","Verrell	 Cec","Jackson	 Donald G",74,No
1966,126,"Fortune Cookie	 The",Comedy,"Lemmon	 Jack","West	 Judi","Wilder	 Billy",3,Yes
1990,92,"Sun Shines Bright	 The",Action,"Winninger	 Charles","Whelan	 Arleen","Ford	 John",46,No
1987,106,"Squeeze	 The",Action,"Keach	 Stacy","White	 Carol","Apted	 Michael",23,No
1970,91,Start the Revolution Without Me,Comedy,"Wilder	 Gene","Whitelaw	 Billie","Yorkin	 Bud",62,No
1989,107,Major League,Comedy,"Sheen	 Charlie","Whitton	 Margaret","Ward	 David S.",64,No
1990,108,"Bright Lights	 Big City",Drama,"Fox	 Michael J.","Wiest	 Dianne","Bridges	 James",30,No
1987,97,"Lost Boys	 The",Horror,"Patric	 Jason","Wiest	 Dianne","Schumacher	 Joel",67,No
1989,93,Cookie,Comedy,"Falk	 Peter","Wiest	 Dianne","Seidelman	 Susan",43,No
1974,114,"Conversation	 The",Drama,"Hackman	 Gene","Williams	 Cindy","Coppola	 Francis Ford",59,Yes
1973,112,American Graffiti,Comedy,"Dreyfuss	 Richard","Williams	 Cindy","Lucas	 George",39,Yes
1953,96,Dangerous When Wet,Music,"Lamas	 Fernando","Williams	 Esther","Walters	 Charles",67,No
1980,111,Stir Crazy,Comedy,"Pryor	 Richard","Williams	 JoBeth","Poitier	 Sidney",40,No
1989,91,Young Einstein,Comedy,"Serious	 Yahoo","Wilson	 Pee-Wee","Serious	 Yahoo",47,No
1956,83,"Killing	 The",Drama,"Hayden	 Sterling","Windsor	 Marie","Kubrick	 Stanley",51,No
1973,102,"Cahill	 United States Marshal",Western,"Wayne	 John","Windsor	 Marie","McLaglen	 Andrew V.",12,No
1989,90,"Savage Intruder	 The",Horror,"Garfield	 John David","Wing	 Virginia","Wolfe	 Donald",24,No
1992,139,"Sheltering Sky	 The",Drama,"Malkovich	 John","Winger	 Debra","Bertolucci	 Bernardo",64,No
1982,125,An Officer & a Gentleman,Drama,"Gere	 Richard","Winger	 Debra","Hackford	 Taylor",1,Yes
1987,101,Black Widow,Mystery,"Hopper	 Dennis","Winger	 Debra","Rafelson	 Bob",54,No
1986,116,Legal Eagles,Comedy,"Redford	 Robert","Winger	 Debra","Reitman	 Ivan",39,No
1970,90,Bloody Mama,Action,"Stroud	 Don","Winters	 Shelley","Corman	 Roger",17,No
1965,106,A Patch of Blue,Drama,"Poitier	 Sidney","Winters	 Shelley","Green	 Guy",51,No
1955,109,I Died a Thousand Times,Drama,"Palance	 Jack","Winters	 Shelley","Heisler	 Stuart",23,No
1977,90,Tentacles,Horror,"Huston	 John","Winters	 Shelley","Hellman	 Oliver",62,No
1968,100,"Scalphunters	 The",Western,"Lancaster	 Burt","Winters	 Shelley","Pollack	 Sydney",33,No
1992,96,A Day in October,Drama,"Sweeney	 D. B.","Wolf	 Kelly","Madsen	 Kenneth",76,No
1964,102,A Fistful of Dollars,Westerns,"Eastwood	 Clint","Volonte	 Gian Maria","Leone	 Sergio",61,No
1985,94,My Science Project,Comedy,"Stockwell	 John","Von Zerneck	 Danielle","Betnel	 Jonathan",84,No
1991,160,"Great Race	 The",Comedy,"Moore	 Dudley","Wood	 Natalie","Edwards	 Blake",88,No
1956,119,"Searchers	 The",Western,"Wayne	 John","Wood	 Natalie","Ford	 John",9,No
1979,105,Meteor,Action,"Connery	 Sean","Wood	 Natalie","Neame	 Ronald",5,No
1955,111,Rebel Without a Cause,Drama,"Dean	 James","Wood	 Natalie","Ray	 Nicholas",82,No
1961,153,West Side Story,Music,"Beymer	 Richard","Wood	 Natalie","Wise	 Robert",38,Yes
1970,110,Trash,Comedy,"Dallesandro	 Joe","Woodlawn	 Holly","Morrissey	 Paul",68,No
1966,95,A Big Hand for the Little Lady,Comedy,"Fonda	 Henry","Woodward	 Joanne","Cook	 Fielder",12,No
1966,104,A Fine Madness,Comedy,"Connery	 Sean","Woodward	 Joanne","Kershner	 Irvin",6,No
1987,134,"Glass Menagerie	 The",Drama,"Malkovich	 John","Woodward	 Joanne","Newman	 Paul",68,No
1989,117,Harry & Son,Drama,"Newman	 Paul","Woodward	 Joanne","Newman	 Paul",57,No
1968,102,"Rachel	 Rachel",Drama,"Olson	 James","Woodward	 Joanne","Newman	 Paul",32,No
1961,98,Paris Blues,Drama,"Newman	 Paul","Woodward	 Joanne","Ritt	 Martin",54,No
1991,144,State of Grace,Drama,"Penn	 Sean","Wright	 Robin","Joanou	 Phil",,
1943,108,Shadow of a Doubt,Drama,"Cotten	 Joseph","Wright	 Teresa","Hitchcock	 Alfred",,
1950,85,"Men	 The",Drama,"Brando	 Marlon","Wright	 Teresa","Zinnemann	 Fred",,
1950,110,Stage Fright,Mystery,"Wilding	 Michael","Wyman	 Jane","Hitchcock	 Alfred",,
1947,103,Magic Town,Drama,"Stewart	 James","Wyman	 Jane","Wellman	 William",,
1975,93,That Lucky Touch,Action,"Moore	 Roger","York	 Susannah","Miles	 Christopher",,
1949,90,Lust for Gold,Drama,"Ford	 Glenn","Young	 Gig","Simon	 S. Sylvan",,
1987,103,Heat,Mystery,"Reynolds	 Burt","Young	 Karen","Jameson	 Jerry",,
1947,87,Night Is My Future,Drama,"Malmsten	 Birger","Zetterling	 Mai","Bergman	 Ingmar",,
1990,92,"Witches	 The",Science Fiction,"Fisher	 Jasen","Zetterling	 Mai","Roeg	 Nicolas",,
